Acai,28.35,20,0.7054673721
Acorn,28.35,108,3.80952381
Advocaat,44,125,2.840909091
Alfalfa Sprouts,33,8,0.2424242424
Alligator,153,355,2.320261438
Almond Milk,235,40,0.170212766
Almonds,95,546,5.747368421
Amaretto,25,78,3.12
American Cheese,21,31,1.476190476
Anchovy,85,111,1.305882353
Applejack,44,103,2.340909091
Apples,182,95,0.521978022
Applesauce,246,167,0.6788617886
Applewood,20,82,4.1
Apricots,35,17,0.4857142857
Artichokes,128,60,0.46875
Arugula,2,1,0.5
Asiago Cheese,28.35,110,3.880070547
Asparagus,12,2,0.1666666667
Asti,100,138,1.38
Aubergines,458,115,0.2510917031
Avocados,200,320,1.6
Azuki Bean,266,330,1.240601504
Babybel,21,70,3.333333333
Bailey’s Irish Cream,44,144,3.272727273
Baileys,44,144,3.272727273
Bamboo Shoots,151,41,0.2715231788
Bananas,125,111,0.888
Bean Curd,124,94,0.7580645161
Bean Sprouts,104,31,0.2980769231
Beechnut,28.35,161,5.679012346
Beef,164,407,2.481707317
Beef Brisket,1780,4308,2.420224719
Beef Ribs,225,536,2.382222222
Beef Tenderloin,140,305,2.178571429
Beer,355,153,0.4309859155
Beetroot,82,35,0.4268292683
Bell Pepper,73,15,0.2054794521
Bengal Gram,200,728,3.64
Black Beans,12.1,41,3.388429752
Black Chickpeas,200,728,3.64
Black Gram,207,706,3.410628019
Black Olives,2.7,2,0.7407407407
Blackberries,144,62,0.4305555556
Blood Oranges,140,70,0.5
Blue Cheese,28.35,99,3.492063492
Blue Curacao,30,73,2.433333333
Blueberries,148,84,0.5675675676
Bluefish,117,186,1.58974359
Bourbon,44,103,2.340909091
Brandy,44,94,2.136363636
Brazil Nuts,133,872,6.556390977
Breadfruit,28.35,53,1.869488536
Bream,125,169,1.352
Brie,30,100,3.333333333
Broccoli,608,207,0.3404605263
Brown Lentil,192,678,3.53125
Brussels Sprouts,19,8,0.4210526316
Butter,15,108,7.2
Butterfish,25,47,1.88
Buttermilk,254,157,0.6181102362
Butternut,120,734,6.116666667
Butternut,120,734,6.116666667
Cabbage,908,227,0.25
Calamari,12,21,1.75
Camembert cheese,30,90,3
Canadian Whiskey,44,95,2.159090909
Cantaloupes,69,23,0.3333333333
Capsicums,45,12,0.2666666667
Carp,170,275,1.617647059
Carrot,61,25,0.4098360656
Cashew nuts,28.35,155,5.467372134
Cauliflower,13,3,0.2307692308
Caviar,16,42,2.625
Celery,40,6,0.15
Chambord,150,522,3.48
Champagne,100,75,0.75
Chard,48,9,0.1875
Cheddar,22,89,4.045454545
Cherries,8,4,0.5
Cherry Tomato,20,20,1
Chester,28.35,108,3.80952381
Chestnut,145,309,2.131034483
Chia Seeds,28.35,136,4.797178131
Chicken,334,731,2.188622754
Chicken Breast,200,344,1.72
Chicken Drumstick,71,131,1.845070423
Chicken Fat,205,1841,8.980487805
Chicken Giblets,145,229,1.579310345
Chicken Gizzards,145,212,1.462068966
Chicken Leg,199,346,1.738693467
Chicken Liver,44,73,1.659090909
Chicken Meat,200,344,1.72
Chicken Thigh,111,254,2.288288288
Chicken Wing,29,77,2.655172414
Chickpeas,12.5,44,3.52
Chicory,53,38,0.7169811321
Chili Bean,253,245,0.9683794466
Chinese Cabbage,840,134,0.1595238095
Chives,3,1,0.3333333333
Chocolate Mousse,202,455,2.252475248
Chuck Steak,310,859,2.770967742
Cider,150,74,0.4933333333
Clam,85,126,1.482352941
Clementine,74,35,0.472972973
Coconut,397,1405,3.539042821
Coconut Milk,240,552,2.3
Cod,180,189,1.05
Coffee Creamer,15,29,1.933333333
Cognac,44,103,2.340909091
Cointreau,44,141,3.204545455
Colby Cheese,132,520,3.939393939
Colby-Jack Cheese,132,520,3.939393939
Collard Greens,36,12,0.3333333333
Condensed Milk,306,982,3.209150327
Corn,154,562,3.649350649
Cottage Cheese,210,206,0.980952381
Cottage Cheese,210,206,0.980952381
Cotton Seeds,149,754,5.060402685
Courgette,196,33,0.1683673469
Cranberries,100,46,0.46
Crawfish,12,10,0.8333333333
Crayfish,85,74,0.8705882353
Cream,15,36,2.4
Creamed Spinach,200,148,0.74
Creme Fraiche,14,55,3.928571429
Cubed Steak,165,328,1.987878788
Cucumber,410,66,0.1609756098
Curd,210,206,0.980952381
Blackcurrants,112,63,0.5625
Redcurrants,112,63,0.5625
Custard,141,172,1.219858156
Custard Apple,135,136,1.007407407
Dal,100,230,2.3
Dates,7.1,20,2.816901408
Deep-Fried Tofu,28.35,76,2.680776014
Drambuie,44,158,3.590909091
Duck,634,2137,3.370662461
Dutch Cheese,28.35,110,3.880070547
Edam Cheese,198,707,3.570707071
Eel,28.4,66,2.323943662
Eggplants,458,115,0.2510917031
Emmentaler,25,89,3.56
Endive,513,87,0.1695906433
Evaporated Milk,252,340,1.349206349
Extra-Firm Tofu,91,83,0.9120879121
Fennel,234,73,0.311965812
Feta,28.35,74,2.610229277
Figs,50,37,0.74
Filet Mignon,104,278,2.673076923
Firm Tofu,81,57,0.7037037037
Fish Fingers,28,81,2.892857143
Fish Sticks,28,81,2.892857143
Flageolet,100,85,0.85
Flank Steak,188,365,1.941489362
Flat Iron Steak,252,345,1.369047619
Flaxseed,168,897,5.339285714
Flounder,127,109,0.8582677165
Fontina,30,117,3.9
Frangelico,44,105,2.386363636
Fresh Mozzarella,28,78,2.785714286
Fried Bean Curd,13,35,2.692307692
Fruit salad,249,125,0.5020080321
Garlic,3,4,1.333333333
Gherkins,65,9,0.1384615385
Gin,25,66,2.64
Ginkgo Nuts,28.35,51,1.798941799
Glenfiddich,44,101,2.295454545
Goa Bean,182,744,4.087912088
Goat Cheese,28.35,102,3.597883598
Goat Milk,244,168,0.6885245902
Gorgonzola,28.35,98,3.456790123
Gouda,198,705,3.560606061
Gourd,771,108,0.140077821
Grand Marnier,44,111,2.522727273
Grapes,151,104,0.6887417219
Grated Parmesan,5,22,4.4
Green Beans,110,34,0.3090909091
Green Beans,100,31,0.31
Green Gram,207,718,3.468599034
Green Lentil,60,154,2.566666667
Green Olives,2.7,2,0.7407407407
Green Onion,15,5,0.3333333333
Greengage,5,2,0.4
Grilled Cheese,83,291,3.506024096
Ground Beef,70,172,2.457142857
Ground Round,113,278,2.460176991
Grouper,202,238,1.178217822
Gruyere,25,103,4.12
Guava,55,37,0.6727272727
Haddock,150,135,0.9
Hake,113,80,0.7079646018
Halibut,200,222,1.11
Halloumi,28.35,90,3.174603175
Ham,145,236,1.627586207
Havarti,28,104,3.714285714
Hazelnut,75,471,6.28
Herring,143,290,2.027972028
Hickory Nuts,120,788,6.566666667
Hoki,70,85,1.214285714
Horseradish,15,7,0.4666666667
Hot Chocolate,266,237,0.8909774436
Irish Whiskey,44,103,2.340909091
Italian Cheese,30,119,3.966666667
Jack Daniel’s,44,64,1.454545455
Jackfruit,151,143,0.9470198675
Jagermeister,25,63,2.52
Jarlsberg,28.35,99,3.492063492
Jim Beam,44,98,2.227272727
Jujube,28.35,22,0.7760141093
Kahlua,25,45,1.8
Kale,67,33,0.4925373134
Kefir,246,135,0.5487804878
Kidney Beans,184,620,3.369565217
Kipper,40,87,2.175
Kiwi,183,112,0.6120218579
Kohlrabi,400,108,0.27
Kumara,130,112,0.8615384615
Lactose-free Milk,250,130,0.52
Lassi,200,150,0.75
Leek,89,54,0.606741573
Lemon,58,17,0.2931034483
Lentils,192,678,3.53125
Lettuce,44,153,3.477272727
Lettuce,600,90,0.15
Lima Beans,124,88,0.7096774194
Lima Beans,124,88,0.7096774194
Lime,67,20,0.2985074627
Ling,151,165,1.092715232
Liqueur,25,63,2.52
Liquor,25,63,2.52
Lobster,150,134,0.8933333333
Lotus Seed,28.35,25,0.8818342152
Lychees,10,7,0.7
Maasdam Cheese,18,62,3.444444444
Macadamia Nuts,134,962,7.179104478
Mackerel,88,231,2.625
Manchego Cheese,28,90,3.214285714
Mandarin Oranges,88,47,0.5340909091
Mango,336,202,0.6011904762
Marron,100,210,2.1
Midori,30,80,2.666666667
Milk,244,149,0.6106557377
Milkfish,85,162,1.905882353
Minneola,109,70,0.6422018349
Miso,275,547,1.989090909
Monkfish,85,82,0.9647058824
Monterey,132,492,3.727272727
Monterey Jack Cheese,132,492,3.727272727
Mozzarella,28,78,2.785714286
Muenster Cheese,28,103,3.678571429
Mulberries,140,60,0.4285714286
Mullet,93,140,1.505376344
Mung Beans,125,15,0.12
Mushrooms,5.4,1,0.1851851852
Mussel,85,146,1.717647059
Mustard Greens,56,15,0.2678571429
Natto,175,371,2.12
Navy Bean,208,701,3.370192308
Nectarine,150,66,0.44
Neufchatel,85,215,2.529411765
New York Strip Steak,214,426,1.990654206
Nori,2.6,1,0.3846153846
Octopus,85,139,1.635294118
Okara,122,94,0.7704918033
Okra,100,33,0.33
Okra,12,4,0.3333333333
Olive Oil,15,133,8.866666667
Olives,2.7,2,0.7407407407
Olives,2.7,2,0.7407407407
Onions,85,34,0.4
Oranges,131,62,0.4732824427
Ostrich,85,123,1.447058824
Papayas,500,215,0.43
Parmesan cheese,5,22,4.4
Parsnips,170,128,0.7529411765
Passion Fruit,18,17,0.9444444444
Peach,150,59,0.3933333333
Peanuts,28.35,159,5.608465608
Peanuts,146,828,5.671232877
Pear,178,101,0.5674157303
Peas,63,26,0.4126984127
Peas,98,79,0.806122449
Peas,145,117,0.8068965517
Pecan,99,684,6.909090909
Pecan Nuts,99,684,6.909090909
Pecans,99,684,6.909090909
Pecorino,5,19,3.8
Pepper,75,20,0.2666666667
Persimmon,25,32,1.28
Physalis,5,2,0.4
Pickerel,127,141,1.11023622
Pickled Herring,140,367,2.621428571
Pike,155,175,1.129032258
Pili Nuts,120,863,7.191666667
Pine Nuts,135,909,6.733333333
Pineapples,905,453,0.5005524862
Pinto Beans,193,670,3.471502591
Pinto Beans,193,670,3.471502591
Pistachios,123,691,5.617886179
Plaice,100,91,0.91
Yogurt,227,138,0.6079295154
Plantains,179,218,1.217877095
Plum,66,30,0.4545454545
Pollock,151,168,1.112582781
Pomegranate,282,234,0.829787234
Poppy Seeds,8.8,42,4.772727273
Pork,185,363,1.962162162
Potatoes,213,164,0.7699530516
Powdered Milk,68,337,4.955882353
Prosecco,100,66,0.66
Provolone,28,98,3.5
Pumpkins,196,51,0.2602040816
Pumpkin Seeds,129,721,5.589147287
Punch,237,147,0.6202531646
Puy Lentils,100,345,3.45
Quark,220,319,1.45
Quinces,92,52,0.5652173913
Raclette Cheese,25,89,3.56
Radish Seeds,38,16,0.4210526316
Radishes,4.5,1,0.2222222222
Raisins,145,434,2.993103448
Rajma,100,140,1.4
Rambutan,9,7,0.7777777778
Raspberries,123,64,0.5203252033
Red Beans,266,330,1.240601504
Red Cabbage,22,7,0.3181818182
Red Kidney Bean,184,620,3.369565217
Red Lentils,197,648,3.289340102
Red Snapper,170,218,1.282352941
Red Wine,150,128,0.8533333333
Redfish,57,54,0.9473684211
Refried Beans,443,403,0.9097065463
Rhubarb,51,11,0.2156862745
Rice Milk,245,120,0.4897959184
Rice Pudding,113,133,1.17699115
Ricotta,246,428,1.739837398
Roast Beef,515,721,1.4
Roasted Soybeans,172,810,4.709302326
Rollmops,65,111,1.707692308
Romano,142,550,3.873239437
Roquefort,28.35,103,3.633156966
Rose Wine,150,107,0.7133333333
Round Steak,236,430,1.822033898
Rum,44,102,2.318181818
Rutabaga,386,147,0.3808290155
Safflower Seeds,28.35,145,5.114638448
Salmon,178,367,2.061797753
Sambuca,25,83,3.32
Sangria,250,240,0.96
Sardines,149,310,2.080536913
Scallops,10,11,1.1
Scampi,10,8,0.8
Schnitzel,130,203,1.561538462
Scotch,44,98,2.227272727
Sea Bass,124,154,1.241935484
Semi-skimmed Milk,250,125,0.5
Semolina Pudding,143,96,0.6713286713
Sesame Seeds,144,825,5.729166667
Shad,144,363,2.520833333
Shallots,25,18,0.72
Shark,85,111,1.305882353
Sheep Cheese,28.35,102,3.597883598
Sherry,44,51,1.159090909
Silken Tofu,84,46,0.5476190476
Skim Milk,247,86,0.3481781377
Sloe Gin,25,83,3.32
Smelt,85,105,1.235294118
Smoked Almonds,95,546,5.747368421
Soft Cheese,28.35,75,2.645502646
Soft Tofu,18,11,0.6111111111
Sole,127,109,0.8582677165
Sour Cream,12,22,1.833333333
Southern Comfort,44,109,2.477272727
Soy Beans,256,376,1.46875
Soy Cheese,17,40,2.352941176
Soy Mayonnaise,15,48,3.2
Soy Milk,243,109,0.4485596708
Soy Nut Butter,32,180,5.625
Soy Nuts,256,1206,4.7109375
Soy Yogurt,227,150,0.6607929515
Soya Cheese,17,40,2.352941176
Soybeans,256,376,1.46875
Soynut Butter,32,180,5.625
Spare Ribs,1400,3332,2.38
Spinach,340,78,0.2294117647
Button Squash,196,88,0.4489795918
Squid,28.4,26,0.9154929577
Standing Rib Roast,113,376,3.327433628
Starfruit,91,28,0.3076923077
Stilton Cheese,28.35,110,3.880070547
Strawberries,152,49,0.3223684211
String Cheese,28,70,2.5
Sturgeon,136,184,1.352941176
Sugar Peas,100,42,0.42
Sunflower Oil,14,124,8.857142857
Sunflower Seeds,140,818,5.842857143
Sushi,26,39,1.5
Sweet Chestnut,28.35,54,1.904761905
Sweet Peas,100,48,0.48
Sweet Potatoes,130,112,0.8615384615
Sweetened Condensed Milk,306,982,3.209150327
Swiss Cheese,25,95,3.8
Swordfish,106,182,1.716981132
T-Bone Steak,287,580,2.020905923
Tamarind,2,5,2.5
Tangerines,88,47,0.5340909091
Tempeh,166,320,1.927710843
Tequila,25,28,1.12
Textured Soy Protein,56,320,5.714285714
Textured Vegetable Protein,96,320,3.333333333
Tofu,124,94,0.7580645161
Tomatoes,111,20,0.1801801802
Triggerfish,28.4,26,0.9154929577
Triple Sec,150,230,1.533333333
Trout,62,118,1.903225806
Tuna,154,203,1.318181818
Tuna Salad,205,383,1.868292683
Turbot,159,194,1.220125786
Turkey,3812,7205,1.890083945
Turnip Greens,170,34,0.2
Turnips,122,34,0.2786885246
Tzatziki,15,18,1.2
Vermouth,44,57,1.295454545
Vodka,25,58,2.32
Wahoo,100,167,1.67
Walnuts,80,523,6.5375
Wasabi,169,184,1.088757396
Watermelon,286,86,0.3006993007
Watermelons,286,86,0.3006993007
Whipped Cream,3,8,2.666666667
Whisky,44,110,2.5
White Beans,215,722,3.358139535
White Cheddar,132,532,4.03030303
White Wine,150,123,0.82
Whitefish,154,265,1.720779221
Whiting,72,84,1.166666667
Whole Milk,244,149,0.6106557377
Wine,150,125,0.8333333333
Winter Squash,431,147,0.3410672854
Wisconsin Cheese,28.35,109,3.844797178
Yam Bean,130,49,0.3769230769
Yellow Lentils,200,608,3.04
Yogurt,227,138,0.6079295154
Yuba,28.35,49,1.728395062
Zander,62,52,0.8387096774
Zucchini,196,33,0.1683673469